ir_L,ir_R,degree
7.6,9.0,49.12
5.3,8.8,45.34
2.5,8.7,45.31
0.9,8.7,45.24
0.2,9.4,45.23
0.0,9.8,45.34
0.0,9.6,45.29
0.0,9.6,45.25
0.0,9.6,44.69
0.0,9.8,41.14
0.0,9.7,35.98
0.0,9.4,31.61
0.0,9.5,23.81
0.0,9.1,22.21
0.0,8.6,22.24
0.0,7.8,22.2
0.0,7.6,6.88
0.0,6.4,0.06
0.0,5.8,0.04
0.0,3.8,0.05
0.0,2.4,0.03
0.0,1.0,0.04
0.0,0.0,0.09
0.0,0.0,0.03
0.0,0.0,0.07
0.0,0.0,0.05
0.0,0.0,0.21
0.1,0.0,0.05
0.2,0.0,0.04
0.4,0.0,0.12
0.7,0.0,0.04
0.9,0.0,0.11
1.2,0.0,0.06
1.5,0.0,0.05
1.9,0.2,0.03
2.4,1.1,0.03
2.7,1.7,0.05
3.3,1.8,0.03
4.0,1.8,0.08
4.4,1.2,18.55
5.4,0.6,37.29
6.0,2.5,40.45
6.5,3.3,46.56
6.7,3.8,47.74
6.8,4.4,47.89
6.9,4.3,46.0
6.8,4.5,39.56
6.6,4.4,24.61
6.6,4.3,24.36
6.9,3.9,24.34
7.6,3.9,24.34
7.9,4.9,24.31
8.2,6.1,39.72
8.6,6.0,44.6
8.6,6.0,44.57
8.5,6.1,44.59
8.4,6.3,44.62
8.2,6.2,44.61
7.8,6.3,44.59
7.6,6.3,44.6
7.5,6.4,44.59
6.9,6.5,44.23
6.1,6.8,44.26
5.2,6.9,43.68
3.4,7.0,31.99
2.4,7.1,14.18
1.5,7.0,0.07
1.5,6.9,0.04
1.9,6.1,0.07
2.3,5.5,0.04
2.3,4.5,0.03
2.4,3.2,1.61
2.5,2.2,21.71
2.8,0.9,27.56
2.7,0.1,34.36
2.3,0.0,38.76
1.8,0.0,40.65
1.2,0.0,40.73
0.6,0.0,40.63
0.4,0.0,40.62
0.2,0.0,32.02
0.2,0.0,15.47
0.1,0.0,3.15
0.3,0.0,0.08
0.5,0.0,0.07
0.7,0.0,0.02
1.3,0.0,0.05
1.6,0.0,0.03
2.2,0.0,0.03
2.5,0.0,0.03
3.5,2.2,0.04
4.3,4.4,0.02
5.3,6.3,0.03
6.2,7.3,0.12
7.9,8.7,0.05
8.7,10.2,0.1
10.5,11.0,0.04
12.0,11.6,0.03
14.4,11.7,0.07
17.4,11.7,22.1
19.7,11.7,32.59
20.7,10.7,37.71
21.0,10.7,40.51
21.3,10.3,40.75
21.9,10.5,40.71
22.8,9.8,40.72
22.0,10.0,46.25
23.2,10.0,47.94
21.8,10.2,47.88
22.4,10.4,47.88
20.7,10.5,47.88
20.5,10.5,43.54
20.2,10.5,25.74
20.4,10.3,25.7
21.3,8.0,25.71
23.1,7.4,26.15
23.4,8.3,39.25
24.5,8.8,43.09
25.1,9.1,43.11
25.0,9.3,46.6
24.3,9.6,48.13
23.9,10.1,48.89
23.4,10.2,49.09
22.8,10.2,49.11
22.6,10.5,49.19
22.2,10.5,49.11
22.7,10.7,49.04
21.9,10.7,48.7
22.0,10.7,48.68
21.1,11.0,48.7
20.8,11.2,48.67
19.9,11.2,48.62
19.9,11.6,44.73
18.6,11.9,37.4
18.2,11.9,37.21
18.2,11.7,37.25
18.0,11.5,37.2
18.1,11.7,37.2
17.6,11.7,40.83
17.3,11.6,40.99
16.4,11.6,41.02
15.7,12.0,40.97
15.3,12.0,40.98
15.7,11.7,41.0
15.5,11.8,40.98
15.9,12.1,41.01
15.0,11.7,40.97
13.9,11.8,41.0
10.4,12.1,40.95
7.1,12.4,40.89
3.4,12.4,40.87
1.8,12.2,40.88
0.3,12.3,40.68
0.0,12.2,40.42
0.0,12.1,37.6
0.0,11.9,26.34
0.0,11.7,10.44
0.0,10.9,0.04
0.0,9.8,0.03
0.0,7.5,0.02
0.0,5.3,0.03
0.0,3.8,0.02
0.0,2.1,0.12
0.1,0.6,0.04
0.5,0.0,0.05
0.6,0.0,0.03
1.0,0.0,0.27
1.5,0.0,0.03
1.8,0.0,0.17
2.4,0.0,0.21
3.0,0.0,0.04
3.7,0.0,2.59
4.6,0.0,16.94
5.1,0.0,36.84
5.8,0.0,41.26
5.8,0.0,41.15
5.5,0.2,42.32
5.4,0.4,47.45
4.8,0.6,46.85
4.5,0.8,26.0
4.3,0.8,11.06
4.3,1.4,11.04
5.1,1.9,11.85
5.2,2.8,20.48
6.1,3.5,39.38
7.1,3.8,45.17
6.7,4.0,47.4
6.7,4.2,40.58
6.3,4.5,13.57
6.2,4.8,0.08
6.9,5.1,0.03
7.7,4.9,0.02
8.8,4.6,0.79
9.9,4.9,24.12
11.0,5.6,37.36
11.4,5.0,37.29
11.3,3.6,37.33
11.1,2.0,37.29
10.8,1.0,37.26
11.3,0.0,37.32
11.0,0.0,37.27
11.5,0.0,37.33
12.1,0.0,37.38
13.0,0.0,37.25
14.3,0.8,37.26
14.4,1.0,44.77
15.6,0.8,58.73
15.8,0.2,58.82
15.4,0.0,64.71
11.4,0.0,65.54
7.8,0.0,65.53
2.4,0.0,65.34
0.2,0.0,62.0
0.0,0.0,23.32
0.0,0.0,6.96
0.0,0.7,7.19
0.0,3.0,0.26
0.0,3.6,0.04
0.0,2.7,0.05
0.0,2.0,0.03
0.1,0.8,0.02
0.3,0.0,0.08
0.7,0.0,0.08
1.0,0.0,0.18
1.2,0.0,0.04
1.7,0.0,0.17
2.1,0.0,0.07
2.5,0.0,0.04
3.1,0.0,0.15
3.6,0.0,0.03
4.4,0.0,0.03
5.2,0.0,0.04
5.8,0.0,0.06
6.4,0.6,0.03
6.7,1.9,0.21
7.6,3.2,0.04
8.9,3.9,0.09
10.0,5.0,1.16
12.0,5.3,35.36
14.1,6.2,42.17
14.0,6.8,42.26
12.9,7.0,47.26
12.1,7.5,61.73
11.4,8.1,62.88
10.2,8.3,47.35
9.9,8.7,35.15
9.2,9.2,34.15
9.5,10.0,29.56
9.1,10.8,25.59
9.6,11.0,25.58
9.9,11.6,24.57
10.1,12.2,20.64
10.8,12.0,20.66
11.2,12.2,20.66
11.7,12.9,20.64
12.8,12.3,20.76
12.8,9.6,20.7
13.9,7.0,20.67
15.6,5.8,20.67
16.5,7.8,20.67
17.6,8.0,23.02
18.1,7.4,40.89
18.8,7.4,42.96
18.7,7.5,42.99
18.6,7.9,42.98
18.5,7.9,42.98
18.8,7.5,42.98
18.4,7.0,43.01
18.6,7.0,43.0
17.9,7.0,42.93
17.5,6.8,43.0
17.2,7.0,42.96
16.9,7.0,42.93
16.3,7.1,48.2
16.5,7.2,48.32
16.2,7.0,48.33
15.6,6.9,48.36
15.2,7.2,41.27
14.1,7.3,38.17
14.1,7.5,38.23
13.7,7.4,41.39
13.9,7.3,43.2
12.4,7.3,43.15
10.4,6.8,39.6
6.5,6.8,38.7
3.9,6.9,38.75
1.2,6.9,38.71
0.2,7.8,38.79
0.0,7.6,38.76
0.0,7.5,38.77
0.0,7.6,38.76
0.0,7.3,38.74
0.0,7.2,30.45
0.0,6.9,15.16
0.0,6.7,0.21
0.0,5.9,0.03
0.0,4.3,0.17
0.0,3.4,0.02
0.0,1.7,0.03
0.0,0.3,0.27
0.0,0.0,0.03
0.0,0.0,0.05
0.0,0.0,0.03
0.1,0.0,0.04
0.3,0.0,0.08
0.6,0.0,0.08
0.9,0.0,0.02
1.0,0.0,0.07
1.3,0.0,0.03
1.6,0.0,0.03
1.9,0.0,0.03
