ir_L,ir_R,degree
29.4,17.2,54.51
36.0,16.9,54.49
45.0,16.6,54.5
48.7,15.8,54.49
51.1,14.8,54.48
52.4,13.7,54.56
51.8,13.5,54.49
50.9,14.1,54.5
50.8,14.7,54.51
50.1,15.4,54.52
50.8,15.6,54.55
50.7,16.1,54.58
50.1,16.3,54.63
49.7,16.5,54.54
48.8,16.5,54.56
48.6,16.9,54.55
47.5,17.1,54.51
46.5,17.4,54.59
45.4,17.5,54.55
45.1,17.7,54.54
44.6,18.1,51.7
44.0,18.2,48.91
43.0,18.5,48.91
42.0,18.6,44.84
39.6,18.9,42.89
37.8,19.1,41.0
35.9,19.4,40.36
33.9,19.4,40.31
33.7,19.4,40.41
33.6,19.6,40.46
33.1,19.5,40.73
32.6,19.6,40.67
32.1,19.6,40.67
30.1,19.6,40.66
29.9,19.9,40.65
30.8,20.1,40.67
33.0,20.2,40.66
33.6,21.0,40.56
32.4,22.1,40.33
27.5,22.5,40.19
22.8,23.1,40.22
13.3,22.6,40.21
9.0,22.4,40.18
5.3,22.4,40.18
4.3,22.1,40.24
3.8,21.9,40.19
3.8,23.0,40.21
3.6,21.1,38.72
3.3,20.0,37.03
3.3,17.8,36.95
3.3,17.4,36.99
3.4,16.9,37.02
3.1,16.4,37.0
3.1,15.9,37.1
3.1,15.6,37.01
3.2,14.9,36.98
3.2,14.3,37.02
3.0,13.6,36.97
3.0,13.0,37.0
3.0,12.2,36.98
3.1,11.5,37.01
3.1,10.1,37.11
2.9,9.1,36.95
2.9,8.2,33.98
2.9,7.0,33.06
2.9,6.2,32.07
2.9,5.6,32.01
2.7,5.2,29.35
2.8,4.7,28.49
2.8,4.6,28.54
2.8,5.2,18.61
2.8,5.6,4.6
2.8,4.9,0.11
3.3,4.3,0.03
4.0,5.5,0.04
4.9,6.7,0.05
4.9,8.6,0.11
6.2,10.3,9.08
7.1,13.0,12.19
8.0,14.2,12.63
8.4,16.1,30.08
9.3,16.6,32.67
10.1,17.4,35.27
11.3,17.6,37.88
12.2,18.4,38.47
13.3,18.6,38.77
14.0,19.0,40.64
14.5,19.3,40.63
14.7,19.5,43.94
15.0,19.4,45.83
14.8,19.1,45.96
14.5,18.2,35.47
14.3,17.4,31.95
14.4,17.4,30.77
15.4,19.8,30.73
