ir_L,ir_R,degree
37.4,18.2,55.94
37.6,18.3,55.99
36.6,18.5,55.98
33.9,18.7,56.03
32.4,18.8,55.96
31.0,19.0,56.03
31.0,19.2,55.97
30.6,19.0,56.0
30.3,18.5,55.95
30.8,17.3,53.57
30.1,16.8,48.8
29.8,16.9,48.82
29.2,17.6,46.52
28.1,19.0,46.46
28.1,19.9,45.41
28.6,20.8,42.51
27.6,21.2,40.32
26.5,22.0,40.21
26.4,22.4,38.04
27.3,23.1,34.64
27.1,23.2,34.16
26.6,23.7,30.59
27.0,23.8,30.68
27.1,24.0,30.56
26.7,24.3,30.57
28.2,23.9,30.58
30.0,23.2,30.75
29.2,22.7,35.39
30.0,22.7,39.53
30.1,22.1,39.62
31.3,22.1,39.66
31.3,21.8,39.66
32.0,21.2,39.62
32.3,21.3,39.66
33.2,23.2,39.67
34.3,23.4,39.71
35.2,23.3,39.64
36.6,23.2,39.6
37.7,22.2,39.6
32.2,21.7,39.62
24.1,21.1,39.62
12.7,20.5,39.61
7.8,20.7,39.62
5.1,21.4,39.59
4.6,19.9,39.61
4.4,17.8,39.6
4.0,16.0,39.71
3.7,15.6,39.61
3.5,15.1,39.74
3.4,15.0,39.72
3.4,14.6,39.59
3.4,14.3,39.68
3.2,14.3,39.59
3.1,13.9,39.62
3.1,13.6,39.63
3.2,13.1,39.65
3.2,12.9,39.59
3.1,12.4,39.67
2.9,12.0,39.57
3.1,11.0,39.63
3.0,10.0,39.57
2.9,8.5,39.26
2.9,7.7,37.66
2.9,6.8,36.41
2.9,6.3,30.63
3.0,5.9,30.16
2.9,5.4,29.98
2.7,4.8,30.02
2.7,5.0,30.13
2.8,5.7,30.01
2.8,5.8,30.08
2.8,5.6,30.09
2.8,5.3,30.04
2.7,4.8,30.08
2.7,4.5,30.06
2.9,4.7,30.13
2.9,5.6,17.26
2.7,6.5,3.99
2.9,8.8,0.06
3.4,11.1,0.05
3.4,14.0,0.04
4.0,17.1,0.14
4.7,22.4,0.18
5.8,25.4,0.18
6.9,28.9,0.08
8.3,30.3,0.04
8.9,31.8,0.28
11.0,31.6,0.02
12.4,25.2,8.91
13.0,19.0,18.91
13.8,25.7,31.15
15.2,27.4,31.25
16.0,26.8,31.22
17.2,25.9,31.08
18.1,25.2,33.6
19.1,23.4,33.8
19.3,22.6,34.86
20.0,19.8,36.68
20.4,17.7,39.39
21.4,15.0,44.93
21.7,14.1,48.22
22.3,13.8,54.22
22.9,14.2,57.21
23.1,15.2,57.22
23.1,15.8,57.31
23.0,16.4,57.12
23.1,16.5,57.22
24.2,16.0,59.89
22.0,15.6,59.89
20.2,15.2,59.88
18.3,15.5,59.89
16.6,15.9,59.87
10.7,16.3,59.87
7.1,16.9,59.89
4.3,17.2,59.97
3.4,17.5,59.73
2.8,18.0,59.65
2.7,18.1,59.44
2.6,18.6,57.82
2.4,19.0,53.58
2.5,19.1,50.49
2.5,19.1,44.5
2.5,19.0,41.8
2.5,18.8,39.47
2.4,18.6,35.04
2.4,18.5,30.0
2.5,17.6,15.71
2.5,16.5,11.38
2.3,14.0,11.39
2.4,12.5,11.35
2.5,10.3,11.34
2.7,8.8,11.36
2.8,7.2,11.43
3.1,6.4,11.34
3.3,5.7,11.31
3.7,5.1,11.34
4.0,4.4,11.41
4.6,5.1,11.42
4.8,6.4,11.44
5.3,9.1,11.37
5.7,11.3,11.45
6.6,14.2,11.48
7.0,15.8,11.4
7.1,17.8,11.35
8.1,18.5,11.67
9.3,19.4,12.4
11.9,19.3,30.81
13.4,19.4,38.11
12.9,19.4,38.22
12.5,19.6,38.14
13.0,19.3,38.18
14.3,19.4,38.14
18.2,19.5,38.14
21.7,19.6,38.25
23.9,19.7,38.14
22.6,19.7,38.16
18.7,19.5,38.2
16.4,19.4,38.24
15.3,19.1,43.72
16.1,18.8,47.29
20.1,18.6,47.53
24.3,18.5,47.55
26.8,18.4,47.53
26.1,18.5,48.6
26.2,18.6,48.8
29.0,18.6,48.9
33.0,18.5,48.83
38.8,18.0,48.76
40.3,16.4,48.77
40.6,14.5,48.76
39.7,11.4,48.73
39.0,9.7,48.8
39.1,8.1,48.75
39.1,8.3,48.79
40.2,10.0,48.79
39.7,11.6,48.73
39.9,13.9,48.81
40.1,15.0,48.73
40.8,15.7,48.78
40.7,16.1,48.72
40.4,16.4,48.75
41.4,16.4,48.74
41.3,16.6,48.76
42.3,16.5,48.75
42.7,16.3,48.76
42.8,15.6,48.75
42.6,15.0,48.74
41.9,14.4,48.68
41.9,13.8,48.67
41.1,13.5,48.81
38.8,13.4,48.77
36.9,13.7,48.72
34.6,14.0,48.76
34.0,14.5,48.72
34.2,15.1,48.73
33.4,15.8,48.73
32.5,16.4,48.71
32.7,17.1,48.71
31.0,17.5,48.76
31.2,18.0,48.77
32.0,18.4,48.73
32.2,18.2,48.72
32.2,17.9,48.74
31.1,17.5,48.72
26.0,16.5,48.77
20.8,16.2,48.72
14.7,15.4,48.75
7.4,15.1,48.72
5.1,15.9,48.71
3.8,17.0,48.74
3.5,16.6,48.9
3.3,15.8,48.76
3.3,16.1,48.72
3.2,16.8,48.72
3.1,16.8,48.66
3.0,16.0,48.64
3.0,15.7,48.57
3.0,16.5,48.55
2.9,16.6,41.32
2.8,16.6,37.57
2.8,14.9,37.16
2.8,13.9,37.18
2.9,13.6,33.16
2.9,13.4,32.82
2.8,13.1,32.83
2.7,12.6,32.95
2.8,12.0,32.96
