ir1,ir2,degree,time
31.6,3.3,3,10:36:50.052845
31.6,3.3,3,10:36:50.080161
31.6,3.3,3,10:36:50.106478
31.7,3.5,3,10:36:50.134798
31.7,3.5,3,10:36:50.161999
32.0,3.4,3,10:36:50.189187
32.0,3.4,3,10:36:50.215785
31.8,3.4,3,10:36:50.243650
31.8,3.4,3,10:36:50.270938
31.8,3.4,3,10:36:50.298065
32.0,3.5,3,10:36:50.324950
32.0,3.5,3,10:36:50.352071
32.2,3.5,3,10:36:50.379874
32.2,3.5,3,10:36:50.407163
32.2,3.5,3,10:36:50.434786
32.3,3.5,3,10:36:50.462819
32.3,3.5,3,10:36:50.490127
32.3,3.6,3,10:36:50.517303
32.3,3.6,3,10:36:50.544339
32.3,3.6,3,10:36:50.572355
32.9,3.5,3,10:36:50.599757
32.9,3.5,3,10:36:50.627420
32.7,3.5,3,10:36:50.655114
32.7,3.5,3,10:36:50.684043
32.7,3.7,3,10:36:50.713767
32.7,3.7,3,10:36:50.743962
33.4,3.7,3,10:36:50.774182
33.4,3.7,3,10:36:50.804000
33.4,3.7,3,10:36:50.833838
33.1,3.6,3,10:36:50.864448
33.1,3.6,3,10:36:50.893591
33.1,3.7,3,10:36:50.924131
33.1,3.7,3,10:36:50.954858
34.0,3.8,3,10:36:50.984797
34.0,3.8,3,10:36:51.012716
33.6,3.7,3,10:36:51.039995
33.6,3.7,3,10:36:51.067726
33.6,3.7,3,10:36:51.095568
33.6,3.6,3,10:36:51.124246
33.6,3.6,3,10:36:51.151826
34.4,3.9,3,10:36:51.179073
34.4,3.9,3,10:36:51.205588
34.2,3.8,3,10:36:51.233898
34.2,3.8,3,10:36:51.261009
34.2,3.8,3,10:36:51.288375
33.7,3.7,3,10:36:51.319906
33.7,3.7,3,10:36:51.350626
34.8,4.0,3,10:36:51.379939
34.8,4.0,3,10:36:51.409432
34.7,3.9,3,10:36:51.437718
34.7,3.9,3,10:36:51.464934
34.6,3.8,3,10:36:51.492811
34.6,3.8,3,10:36:51.520682
34.6,3.8,3,10:36:51.548360
35.6,4.0,3,10:36:51.576047
35.6,4.0,3,10:36:51.603080
35.5,4.0,3,10:36:51.631208
35.5,4.0,3,10:36:51.658136
35.5,4.0,3,10:36:51.685803
34.6,3.9,3,10:36:51.715436
34.6,3.9,3,10:36:51.745956
34.9,4.1,3,10:36:51.775849
34.9,4.1,3,10:36:51.805522
35.4,4.1,3,10:36:51.832591
35.4,4.1,3,10:36:51.859880
35.4,4.1,3,10:36:51.887133
34.4,4.0,3,10:36:51.918406
34.4,4.0,3,10:36:51.949037
34.0,4.2,3,10:36:51.980581
34.0,4.2,3,10:36:52.010327
33.0,4.1,3,10:36:52.038218
33.0,4.1,3,10:36:52.065354
31.3,4.1,2,10:36:52.093315
31.3,4.1,2,10:36:52.123246
31.3,4.1,2,10:36:52.153439
27.7,4.2,2,10:36:52.184984
27.7,4.2,2,10:36:52.213661
17.3,4.4,2,10:36:52.241726
17.3,4.4,2,10:36:52.268897
8.4,4.8,2,10:36:52.296576
8.4,4.8,2,10:36:52.323999
8.4,4.8,2,10:36:52.351120
4.6,5.3,2,10:36:52.379306
4.6,5.3,2,10:36:52.406662
4.0,5.8,2,10:36:52.434374
4.0,5.8,2,10:36:52.461586
3.1,6.0,3,10:36:52.489122
3.1,6.0,3,10:36:52.519975
2.7,6.4,3,10:36:52.549921
2.7,6.4,3,10:36:52.580290
2.7,6.4,3,10:36:52.609881
2.9,6.6,3,10:36:52.637748
2.9,6.6,3,10:36:52.665006
2.7,6.7,3,10:36:52.692597
2.7,6.7,3,10:36:52.722481
2.6,6.7,3,10:36:52.752835
2.6,6.7,3,10:36:52.782622
2.6,6.7,3,10:36:52.812098
2.8,7.1,3,10:36:52.840177
2.8,7.1,3,10:36:52.867399
2.6,7.0,3,10:36:52.894888
2.6,7.0,3,10:36:52.924937
2.5,7.0,3,10:36:52.956098
2.5,7.0,3,10:36:52.986269
2.5,7.4,3,10:36:53.015871
2.8,7.4,3,10:36:53.043804
2.8,7.4,3,10:36:53.070932
2.7,7.4,3,10:36:53.098791
2.7,7.4,3,10:36:53.125662
2.5,7.4,4,10:36:53.153069
2.5,7.4,4,10:36:53.180006
2.5,7.4,4,10:36:53.207578
2.8,7.8,4,10:36:53.235895
2.8,7.8,4,10:36:53.263358
2.6,7.9,4,10:36:53.291134
2.6,7.9,4,10:36:53.321652
2.4,8.0,4,10:36:53.353035
2.4,8.0,4,10:36:53.383191
2.4,8.3,4,10:36:53.413041
2.4,8.3,4,10:36:53.440157
2.4,8.3,4,10:36:53.467419
2.5,8.1,4,10:36:53.495891
2.5,8.1,4,10:36:53.526545
2.4,7.8,4,10:36:53.556471
2.4,7.8,4,10:36:53.586774
2.4,7.5,4,10:36:53.615712
2.4,7.5,4,10:36:53.643003
2.4,7.5,4,10:36:53.670570
2.6,7.0,4,10:36:53.698268
2.6,7.0,4,10:36:53.725884
2.7,6.4,4,10:36:53.752978
2.7,6.4,4,10:36:53.780287
2.9,6.1,5,10:36:53.808026
2.9,6.1,5,10:36:53.835411
2.9,6.1,5,10:36:53.862762
3.2,6.2,5,10:36:53.889853
3.2,6.2,5,10:36:53.919996
3.5,6.0,5,10:36:53.949350
3.5,6.0,5,10:36:53.979340
4.1,5.2,5,10:36:54.010896
4.1,5.2,5,10:36:54.039305
4.1,5.2,5,10:36:54.066333
4.8,5.7,5,10:36:54.094263
4.8,5.7,5,10:36:54.124447
5.2,5.9,5,10:36:54.153992
5.2,5.9,5,10:36:54.185430
5.8,5.6,5,10:36:54.214622
5.8,5.6,5,10:36:54.241927
6.6,5.0,5,10:36:54.269536
6.6,5.0,5,10:36:54.297766
7.1,3.9,5,10:36:54.330000
7.1,3.9,5,10:36:54.359990
7.1,3.9,5,10:36:54.389316
7.8,2.9,5,10:36:54.419210
7.8,2.9,5,10:36:54.446541
8.8,2.7,5,10:36:54.474658
8.8,2.7,5,10:36:54.501843
8.8,2.6,5,10:36:54.532021
9.5,2.6,5,10:36:54.559321
9.5,2.6,5,10:36:54.586728
9.8,2.6,5,10:36:54.614451
9.8,2.6,5,10:36:54.641720
10.7,3.1,4,10:36:54.669703
10.7,3.1,4,10:36:54.697191
10.7,3.1,4,10:36:54.726869
11.3,3.2,4,10:36:54.759342
11.3,3.2,4,10:36:54.789232
12.3,3.2,4,10:36:54.818703
12.3,3.2,4,10:36:54.846134
12.5,3.5,4,10:36:54.873238
12.5,3.5,4,10:36:54.900518
11.3,3.3,3,10:36:54.928660
11.3,3.3,3,10:36:54.955804
11.3,3.3,3,10:36:54.983293
10.1,3.2,3,10:36:55.010673
10.1,3.2,3,10:36:55.038959
9.9,3.3,3,10:36:55.067351
9.9,3.3,3,10:36:55.094777
9.9,3.3,3,10:36:55.125954
10.2,3.3,3,10:36:55.155686
10.2,3.3,3,10:36:55.185106
10.4,3.2,3,10:36:55.216199
10.4,3.2,3,10:36:55.243814
10.7,3.3,3,10:36:55.271357
10.7,3.3,3,10:36:55.298747
11.3,3.4,3,10:36:55.329836
11.3,3.4,3,10:36:55.359743
11.7,3.3,3,10:36:55.390887
11.7,3.3,3,10:36:55.419734
11.7,3.3,3,10:36:55.446879
11.9,3.4,3,10:36:55.474567
11.9,3.4,3,10:36:55.501851
12.2,3.4,3,10:36:55.529932
12.2,3.4,3,10:36:55.557141
12.2,3.4,3,10:36:55.583962
12.2,3.4,3,10:36:55.611306
12.2,3.4,3,10:36:55.638634
12.1,3.5,3,10:36:55.665872
12.1,3.5,3,10:36:55.693101
12.3,3.6,3,10:36:55.721718
12.3,3.6,3,10:36:55.748703
12.3,3.6,3,10:36:55.776227
12.0,3.5,3,10:36:55.805115
12.0,3.5,3,10:36:55.832107
11.8,3.6,3,10:36:55.860096
11.8,3.6,3,10:36:55.887033
11.8,3.6,3,10:36:55.916554
12.1,3.7,3,10:36:55.947769
12.1,3.7,3,10:36:55.977554
11.8,3.5,3,10:36:56.009570
11.8,3.5,3,10:36:56.036564
11.6,3.5,3,10:36:56.066344
11.6,3.5,3,10:36:56.094363
11.7,3.8,3,10:36:56.122598
11.7,3.8,3,10:36:56.150655
11.7,3.8,3,10:36:56.180124
11.5,3.6,3,10:36:56.207610
11.5,3.6,3,10:36:56.235033
11.2,3.6,3,10:36:56.261900
11.2,3.6,3,10:36:56.288535
11.4,3.9,3,10:36:56.316491
11.4,3.9,3,10:36:56.343141
11.4,3.9,3,10:36:56.370414
11.1,3.8,3,10:36:56.400582
11.1,3.8,3,10:36:56.430022
10.9,3.7,3,10:36:56.460610
10.9,3.7,3,10:36:56.490716
11.0,3.9,3,10:36:56.520416
11.0,3.9,3,10:36:56.546783
10.8,3.9,3,10:36:56.574942
10.8,3.9,3,10:36:56.601506
10.8,3.9,3,10:36:56.632209
10.5,3.7,3,10:36:56.664948
10.5,3.7,3,10:36:56.695915
10.5,3.9,3,10:36:56.725613
