ir_L,ir_R,degree
16.3,2.6,18.82
16.9,2.6,20.5
17.6,2.7,23.35
17.8,2.8,37.66
18.1,2.8,39.86
18.5,2.7,41.98
18.7,2.8,44.47
18.9,2.8,44.46
19.3,2.9,44.15
19.5,2.9,42.44
19.5,2.8,42.44
19.8,2.8,42.47
20.1,2.8,41.63
20.4,2.9,41.32
20.6,2.9,41.42
21.0,2.9,40.26
21.3,2.9,38.11
21.7,2.9,36.27
21.9,3.0,34.41
21.4,3.0,32.17
20.4,3.1,32.16
21.1,3.3,32.16
22.2,3.4,32.12
22.9,3.3,32.47
22.7,3.5,32.69
22.6,3.6,32.62
22.4,3.7,33.49
22.1,3.9,40.49
21.9,3.9,40.69
21.9,3.8,40.64
21.9,3.9,40.56
21.8,4.0,40.59
21.6,4.1,40.74
21.4,4.1,40.6
21.2,4.2,40.62
21.2,4.2,41.38
21.4,4.2,43.19
21.3,4.3,44.13
21.4,4.5,44.13
21.4,4.5,44.12
21.6,4.6,44.1
21.8,4.4,44.12
21.6,4.5,44.07
21.5,4.7,44.11
21.6,4.8,45.68
21.5,4.9,46.72
21.8,5.0,46.67
22.0,5.1,46.73
23.4,5.1,46.75
25.9,5.3,46.67
25.6,5.4,46.67
26.1,5.6,46.66
26.5,5.7,46.67
26.6,5.9,46.68
25.9,5.9,46.74
26.7,6.1,46.64
26.5,6.3,46.72
26.9,6.5,46.65
27.3,6.7,46.71
27.3,6.8,46.72
27.0,7.0,46.67
26.1,7.1,46.63
22.9,7.4,46.64
22.6,7.6,46.67
22.8,7.9,46.57
23.0,8.2,46.49
23.2,8.3,46.45
23.6,8.5,45.43
23.1,8.9,42.94
23.2,9.3,40.93
23.2,9.8,32.99
22.7,10.3,30.45
21.9,11.1,28.41
21.2,11.9,21.46
19.4,12.4,21.41
18.0,13.2,21.37
12.8,13.5,17.27
8.0,13.8,13.54
6.3,13.7,10.7
4.9,13.5,10.12
5.7,12.8,9.78
5.8,11.7,9.68
4.4,11.2,9.33
4.4,9.7,5.24
5.8,8.8,4.87
8.1,9.6,4.98
9.6,7.7,4.41
11.9,5.8,3.66
13.4,3.8,3.71
15.2,3.1,3.65
16.4,3.2,3.7
17.0,3.5,3.67
16.9,3.5,4.02
16.2,3.8,14.04
14.6,4.1,30.12
13.0,4.3,35.26
12.2,4.3,42.67
11.7,4.3,49.53
11.8,4.4,52.32
12.5,4.5,58.29
13.7,4.7,61.25
14.5,4.8,62.17
15.7,4.6,62.19
16.3,4.7,62.21
16.9,4.7,62.16
17.3,4.9,62.16
17.4,5.0,62.17
17.5,4.9,62.14
17.6,5.0,62.16
17.9,5.1,62.16
18.2,5.1,62.18
18.3,5.2,62.13
18.5,5.5,61.7
18.7,5.6,60.38
18.8,5.8,53.81
18.4,5.6,52.91
18.0,5.7,52.95
17.4,5.9,53.0
16.6,6.1,53.0
16.0,6.4,53.0
15.2,6.3,53.0
15.0,6.5,53.02
15.0,6.6,53.03
15.4,6.9,53.02
15.7,7.1,53.04
16.5,7.2,53.01
17.0,7.4,53.03
17.2,7.6,52.98
16.8,7.8,52.99
16.6,8.2,53.0
16.4,8.5,53.0
16.8,8.9,53.02
17.1,8.9,52.98
17.5,9.3,53.0
17.8,9.7,52.98
18.2,10.0,52.99
18.4,10.5,53.02
18.8,10.9,53.02
19.0,11.2,53.0
19.2,11.8,52.99
19.2,12.0,53.01
19.2,12.7,53.0
19.1,13.4,53.02
19.2,13.9,52.99
19.2,14.5,53.0
19.3,15.3,52.93
19.4,15.9,52.95
19.3,16.9,42.11
19.3,17.9,32.59
18.9,19.6,8.16
17.1,22.8,0.1
14.1,26.5,0.03
11.8,25.3,0.09
9.2,25.6,0.17
8.3,23.6,0.03
6.7,22.4,0.34
7.7,20.9,0.03
10.4,17.7,0.03
18.9,11.9,0.07
29.0,4.7,0.07
33.4,4.9,0.08
33.2,6.6,0.05
36.1,4.4,0.19
36.6,3.3,0.06
35.7,2.5,6.37
27.7,2.7,26.85
13.9,2.8,35.12
13.3,2.9,41.88
12.5,2.9,42.92
11.7,2.8,43.56
11.3,2.9,43.39
10.9,3.0,37.61
10.9,3.1,36.44
11.2,3.1,36.42
11.4,3.0,36.45
12.1,3.0,36.42
15.1,3.2,36.54
20.6,3.2,36.54
27.1,3.3,36.4
30.1,3.4,36.44
30.6,3.4,36.45
29.8,3.4,36.63
27.6,3.5,45.56
26.1,3.5,49.18
25.6,3.7,49.13
27.1,3.7,49.21
28.8,3.5,49.18
29.4,3.5,49.19
31.0,3.6,49.17
32.3,3.7,49.19
32.5,3.9,49.21
32.7,3.8,49.17
32.8,3.7,49.16
33.2,3.8,49.16
34.0,3.9,49.18
34.4,4.0,49.15
35.2,3.9,49.19
34.2,3.9,49.18
32.0,4.0,49.16
30.9,4.1,49.15
29.3,4.1,49.19
28.5,4.3,49.17
27.6,4.3,49.26
28.8,4.4,49.16
29.7,4.2,49.17
30.1,4.3,49.22
32.7,4.4,49.15
35.5,4.5,49.15
36.2,4.6,49.2
37.1,4.6,49.23
38.9,4.7,49.23
40.5,4.7,49.18
42.5,4.9,49.14
43.7,5.0,49.18
46.1,5.1,49.17
47.6,5.1,49.17
47.0,5.2,49.15
44.8,5.3,49.17
42.8,5.4,49.18
39.7,5.5,49.18
38.0,5.6,49.13
42.9,5.8,49.14
45.7,5.8,49.01
43.6,5.9,48.96
42.2,6.1,46.94
45.8,6.4,45.21
46.2,6.6,45.22
43.4,6.5,45.3
48.7,6.7,45.2
46.1,6.9,45.2
48.8,7.2,43.1
47.0,7.4,42.99
53.4,7.4,41.76
54.6,7.6,39.05
51.2,7.9,38.45
45.4,8.2,37.2
46.3,8.7,32.69
45.1,9.2,32.35
44.0,9.5,32.37
43.4,10.0,32.61
42.0,10.4,32.59
40.7,11.0,39.03
39.3,11.6,42.72
39.0,12.1,44.18
38.6,12.7,44.28
39.4,12.9,44.3
39.7,13.5,44.37
39.8,14.2,44.32
41.1,14.9,44.28
40.9,15.8,44.4
42.0,16.2,44.31
41.8,17.3,43.39
42.9,18.1,36.63
40.7,19.5,4.96
27.4,21.4,0.07
