ir1,ir2,degree,time
22.7,2.6,3,09:36:22.242483
21.6,2.6,3,09:36:22.273032
21.6,2.5,3,09:36:22.300626
21.6,2.5,3,09:36:22.327906
21.3,2.7,3,09:36:22.356138
21.3,2.7,3,09:36:22.383769
21.2,2.7,3,09:36:22.411525
21.2,2.6,3,09:36:22.439099
20.7,2.6,3,09:36:22.466534
20.7,2.5,3,09:36:22.496532
20.7,2.5,3,09:36:22.526526
20.7,2.7,3,09:36:22.556348
20.7,2.7,3,09:36:22.585325
20.8,2.6,3,09:36:22.613502
20.8,2.6,3,09:36:22.640685
20.8,2.6,3,09:36:22.668173
20.4,2.5,4,09:36:22.699066
20.2,2.5,4,09:36:22.729860
20.2,2.7,4,09:36:22.759685
20.2,2.7,4,09:36:22.788170
20.2,2.7,4,09:36:22.816012
20.2,2.7,4,09:36:22.843122
20.7,2.7,4,09:36:22.870487
20.7,2.6,4,09:36:22.898047
20.7,2.6,4,09:36:22.925890
21.2,2.8,4,09:36:22.954357
21.2,2.8,4,09:36:22.982192
22.2,2.8,4,09:36:23.009495
22.2,2.8,4,09:36:23.036503
22.5,2.8,4,09:36:23.064375
22.5,2.7,4,09:36:23.094668
22.5,2.7,4,09:36:23.123810
22.9,2.9,3,09:36:23.154381
22.9,2.9,3,09:36:23.184650
23.3,3.0,3,09:36:23.212364
23.3,3.0,3,09:36:23.239356
23.4,3.0,3,09:36:23.266447
23.4,2.8,3,09:36:23.296851
23.4,2.8,3,09:36:23.327616
23.4,3.0,3,09:36:23.358057
23.4,3.0,3,09:36:23.387344
23.6,3.0,3,09:36:23.415285
23.6,3.0,3,09:36:23.442656
23.6,3.0,3,09:36:23.469543
23.6,2.9,3,09:36:23.499446
23.7,2.9,3,09:36:23.529560
23.7,2.9,3,09:36:23.559571
23.8,2.9,3,09:36:23.589332
23.8,3.0,3,09:36:23.616889
23.8,3.0,3,09:36:23.644060
23.6,2.9,3,09:36:23.673043
23.6,2.9,3,09:36:23.703376
23.6,2.9,3,09:36:23.732858
23.6,2.9,3,09:36:23.763911
23.7,2.9,3,09:36:23.793168
23.7,3.0,3,09:36:23.820404
23.7,3.0,3,09:36:23.848590
23.8,2.9,3,09:36:23.877449
23.8,2.9,3,09:36:23.908811
23.6,2.9,3,09:36:23.938689
23.6,2.9,3,09:36:23.969438
23.8,3.0,3,09:36:23.998096
