ir_L,ir_R,degree
3.2,15.2,16.84
3.5,15.2,16.69
3.2,15.4,16.41
3.3,15.1,8.69
3.5,13.9,0.13
3.6,13.8,0.03
3.3,12.4,0.08
3.2,11.2,0.05
3.0,9.3,0.05
2.8,8.4,0.05
2.9,7.0,0.04
2.7,6.2,0.17
2.3,5.4,0.1
2.1,5.4,0.11
2.1,5.3,0.04
1.9,4.7,11.43
1.8,4.6,18.92
1.7,4.8,18.91
1.7,5.1,18.76
1.8,5.2,4.25
2.2,5.4,0.18
2.3,7.0,0.02
1.8,9.2,0.03
1.8,11.6,0.14
2.1,12.2,0.79
2.2,12.9,6.77
2.2,12.8,14.83
2.1,12.2,25.58
2.1,12.3,38.26
2.5,12.4,47.82
2.5,12.5,47.9
2.1,13.4,48.63
2.0,14.1,60.5
2.2,15.0,35.35
2.2,15.3,25.55
2.4,15.8,25.26
2.4,15.7,25.17
2.1,16.0,25.06
2.1,16.2,25.18
2.4,16.0,25.07
2.4,15.5,25.11
2.1,15.4,25.08
2.1,15.1,25.14
2.3,14.8,25.08
2.3,14.4,25.06
2.4,14.0,25.12
2.4,13.6,25.07
2.2,13.3,25.12
2.3,12.7,25.08
2.4,12.0,25.05
2.5,11.2,25.05
2.2,10.9,25.05
2.2,10.4,25.06
2.4,10.1,25.08
2.5,9.4,25.04
2.6,8.7,25.1
2.6,7.8,25.04
2.8,7.5,25.1
3.0,7.0,55.39
2.9,6.7,69.11
2.6,7.2,80.06
2.2,7.5,82.72
2.2,7.8,82.68
2.3,8.7,81.84
2.5,9.5,60.51
2.6,11.3,60.26
2.4,12.1,52.29
2.4,12.8,52.18
2.5,13.1,47.29
2.8,13.8,44.4
2.8,14.2,35.87
2.6,14.8,27.83
2.6,14.9,17.54
2.8,14.3,13.0
2.7,13.1,13.01
2.5,11.0,12.98
2.4,9.7,16.67
2.3,7.9,39.16
2.3,7.2,43.04
2.4,7.3,50.28
2.5,7.4,51.82
2.3,7.5,50.59
2.4,7.7,46.65
2.6,7.6,44.09
2.7,7.7,44.11
2.7,8.0,44.1
2.8,8.3,44.19
2.8,8.6,44.1
3.0,8.6,44.08
3.2,8.9,44.13
3.1,9.3,44.11
3.3,9.5,44.07
3.4,9.9,36.1
3.6,9.9,20.77
3.6,9.5,10.96
3.5,8.7,5.06
3.4,7.1,4.41
3.0,6.5,4.44
2.8,6.3,4.39
2.5,6.6,4.45
2.3,7.6,4.41
2.2,8.5,4.38
2.4,9.9,4.48
2.4,10.7,4.4
2.5,11.9,4.36
2.5,13.8,4.41
2.5,15.1,4.43
2.6,17.6,4.38
2.7,18.7,4.48
2.7,20.4,4.43
2.6,21.2,4.36
2.7,21.9,4.39
2.9,21.3,4.51
3.0,19.1,3.79
3.1,16.9,1.14
3.1,20.6,0.07
3.1,20.2,0.03
3.0,16.8,0.04
2.9,14.3,0.06
2.6,10.9,0.12
2.5,9.3,1.33
2.4,6.9,18.3
2.3,6.0,27.4
2.2,5.6,45.58
2.1,5.4,48.3
2.1,5.5,48.33
2.2,5.6,48.26
2.4,5.6,48.23
2.5,5.7,48.17
2.3,5.8,39.31
2.4,5.9,35.38
2.5,5.9,29.94
2.5,5.9,26.5
2.5,5.9,21.81
2.5,5.9,18.59
2.4,6.0,10.28
2.4,5.6,2.71
2.2,5.0,0.04
1.8,5.7,0.03
1.8,6.3,0.19
2.0,6.3,0.04
2.1,7.1,0.03
2.1,11.0,0.03
2.2,14.6,0.12
2.3,16.5,0.03
2.3,16.6,0.03
2.5,15.9,0.08
2.7,14.8,0.02
2.9,13.7,6.27
4.2,12.2,11.31
5.3,11.0,26.18
7.3,9.6,35.09
7.5,9.4,46.06
7.3,9.3,46.1
7.1,9.7,46.2
6.8,9.9,46.17
6.6,9.8,46.17
6.3,10.1,46.16
6.2,10.2,45.43
6.1,10.4,38.84
6.0,10.4,36.43
6.0,10.4,31.22
6.0,10.4,29.82
6.1,10.3,30.0
6.7,10.3,29.94
7.1,9.9,30.47
7.8,9.5,34.52
7.9,9.3,40.8
8.1,9.4,41.11
7.9,9.6,41.12
7.7,9.8,41.06
7.5,9.8,42.2
7.4,10.0,44.55
7.1,10.3,44.48
6.9,10.6,44.41
6.7,10.6,48.83
6.6,10.8,48.77
6.2,11.1,48.76
6.0,11.3,48.71
5.7,11.5,48.76
5.5,11.9,48.74
5.1,12.0,48.69
4.8,12.1,39.27
4.6,12.2,28.12
4.6,11.8,28.06
4.9,11.2,28.12
5.3,10.5,35.96
5.4,10.3,38.34
4.9,10.1,38.43
4.3,10.3,38.44
4.0,10.0,38.42
3.4,10.0,38.45
3.0,10.1,38.59
2.8,10.3,38.47
2.7,10.6,38.54
2.7,10.5,38.53
2.8,10.7,38.57
2.8,10.9,38.55
2.6,11.1,38.57
2.7,11.3,42.71
2.7,11.4,44.88
2.7,11.6,44.78
2.7,11.9,44.83
2.7,12.4,44.81
2.6,12.9,44.67
2.8,13.3,44.48
2.8,13.5,43.52
2.6,13.9,32.94
2.7,13.9,22.4
2.7,13.2,18.8
2.7,12.4,18.93
2.7,11.1,21.11
2.7,10.3,21.07
2.5,9.6,21.02
2.4,8.3,21.0
