ir_L,ir_R,degree
2.9,15.4,47.13
2.9,15.3,47.08
2.9,15.0,46.93
2.8,14.8,44.51
2.8,14.8,41.53
2.9,14.3,38.44
2.9,13.7,31.74
2.8,13.2,29.91
2.7,12.5,26.12
2.7,10.8,21.78
2.7,8.3,19.33
2.7,5.4,15.31
2.7,4.5,13.31
2.5,4.0,13.35
2.5,4.5,13.56
2.7,4.7,13.42
2.9,4.4,13.39
3.0,4.1,13.29
3.6,4.8,13.36
4.0,6.8,13.56
4.5,7.8,13.38
4.9,8.5,13.44
5.5,9.4,13.49
5.8,10.5,13.44
6.3,12.4,13.54
7.0,12.7,13.84
7.4,8.8,13.92
7.9,7.4,20.86
8.5,6.7,24.4
9.2,6.6,27.79
9.9,6.4,29.86
10.8,8.2,33.64
11.2,15.6,35.46
11.8,19.0,36.83
12.6,21.1,36.89
12.7,21.1,36.85
13.1,21.0,39.28
12.2,21.3,40.84
12.1,22.2,41.82
12.1,22.7,41.77
12.2,25.4,43.62
12.1,27.9,46.27
11.8,32.1,51.4
11.6,34.5,51.45
11.5,35.2,51.25
11.4,36.2,44.65
11.0,36.8,38.21
10.5,36.9,33.7
9.9,37.3,28.28
10.0,36.7,28.27
10.2,35.5,28.57
10.3,34.8,30.57
10.7,33.3,36.03
11.1,31.4,41.29
11.2,30.6,41.39
12.8,29.9,41.5
8.1,29.1,41.42
6.7,29.0,41.44
5.3,28.6,41.46
4.8,28.2,41.39
3.8,28.0,40.16
3.2,27.4,36.25
2.8,27.5,34.95
2.7,26.4,35.0
2.6,25.6,33.95
2.8,26.3,32.65
2.4,27.9,32.68
2.3,26.7,25.76
2.4,24.2,24.29
2.5,21.4,24.21
2.6,18.0,17.49
2.3,16.1,16.85
2.3,13.8,16.9
2.4,12.2,12.51
2.6,9.7,8.87
2.9,8.5,6.13
2.9,6.5,5.97
3.2,5.3,5.96
3.5,4.2,5.95
3.8,3.9,5.94
4.2,3.9,6.03
4.7,4.2,6.03
5.0,4.9,6.14
5.7,5.6,5.97
6.3,7.7,6.04
7.4,9.4,6.05
8.1,11.3,6.03
9.3,11.8,10.2
10.4,12.1,19.46
11.2,12.2,23.5
13.2,12.6,24.71
14.7,13.0,26.32
18.2,12.9,33.87
20.7,12.4,37.84
20.8,11.5,41.12
18.4,10.5,42.06
13.9,10.1,42.63
13.0,9.7,43.13
14.0,9.4,43.77
15.6,9.2,43.59
19.4,9.2,40.63
21.1,9.2,32.48
21.2,9.3,32.46
19.5,9.4,32.48
15.8,9.6,32.62
14.6,10.9,35.63
16.4,12.1,39.31
18.3,13.2,40.16
21.4,13.4,40.9
25.0,13.0,41.1
28.4,12.3,41.1
28.6,11.3,41.12
26.4,9.9,41.2
27.6,9.1,41.11
31.9,9.3,41.18
39.6,10.0,41.11
42.7,11.5,41.06
44.1,12.5,41.11
44.5,13.2,41.08
45.0,13.5,41.1
45.4,13.6,41.13
46.4,13.6,41.16
47.2,13.5,41.09
46.8,13.4,41.17
46.5,13.3,47.78
47.7,13.3,48.24
48.0,13.2,48.27
48.5,13.2,48.36
47.9,13.2,48.28
47.6,13.2,48.26
47.8,13.2,48.25
47.6,13.1,48.33
47.8,13.1,49.03
48.5,13.1,49.02
48.5,13.0,49.03
47.9,13.0,49.01
47.7,12.9,49.01
47.4,12.8,49.02
44.7,12.7,49.05
42.8,12.6,49.02
40.4,12.6,49.01
39.3,12.6,49.05
38.6,12.6,49.04
37.6,12.5,49.0
37.5,12.5,49.01
37.4,12.5,49.02
35.6,12.7,49.1
35.5,13.2,49.01
37.4,13.5,48.99
38.8,13.8,49.0
40.3,13.6,48.98
39.9,13.4,48.99
30.9,13.4,49.09
22.8,13.3,49.12
11.5,12.9,49.01
7.3,12.5,49.02
4.9,12.3,49.01
4.4,11.9,49.0
4.1,11.5,49.02
3.8,11.3,48.99
3.7,10.7,48.98
3.5,10.6,48.99
3.5,10.4,48.98
3.4,10.4,48.93
3.2,10.2,48.83
3.1,10.1,48.48
3.1,10.0,41.32
3.1,9.8,39.95
3.1,9.5,38.63
3.1,9.4,38.72
3.0,9.1,38.62
3.0,8.8,38.58
3.0,8.3,38.59
3.0,7.8,38.79
2.8,6.8,38.69
2.8,6.2,38.63
2.9,5.4,38.72
2.9,5.0,38.65
2.9,4.6,34.52
2.8,4.4,33.87
2.8,4.1,22.34
2.8,3.9,21.05
2.8,4.3,20.94
2.8,4.5,21.06
2.8,4.2,18.17
2.8,3.8,18.03
3.1,4.0,18.06
3.4,4.9,18.02
3.9,5.8,18.0
4.2,7.6,17.82
4.7,8.8,17.89
5.2,10.8,17.84
6.0,11.8,18.03
6.5,14.1,18.01
7.2,15.5,10.72
7.8,17.8,8.01
8.8,19.0,6.41
9.8,20.3,0.45
11.4,20.6,0.03
13.4,20.5,0.04
15.9,18.0,0.14
15.4,15.0,6.93
16.7,16.8,14.98
18.6,16.9,17.32
19.5,14.9,21.82
21.5,12.6,36.27
23.4,9.7,42.13
26.8,8.8,42.98
28.1,8.5,43.55
29.8,8.6,53.45
30.7,9.0,54.73
31.6,9.1,54.74
32.8,9.2,54.74
34.3,9.1,56.35
34.9,8.7,63.56
34.6,8.6,63.72
34.9,8.6,63.72
39.1,8.7,63.75
40.8,9.0,62.55
37.0,9.3,60.02
38.0,9.6,59.85
32.7,9.7,59.88
25.3,10.1,59.87
10.6,10.3,59.78
7.1,10.5,55.41
4.8,10.6,52.27
4.1,10.8,52.1
3.4,10.8,48.45
3.2,10.7,45.53
3.0,10.6,40.2
2.9,10.6,37.35
2.8,10.3,30.15
2.8,10.0,26.75
2.8,9.2,26.76
2.9,8.7,26.8
2.9,8.0,26.73
3.0,7.5,26.9
3.1,6.9,26.75
3.2,6.3,26.71
3.3,5.7,22.86
3.5,5.3,22.14
3.7,5.0,22.15
4.0,4.6,21.38
4.1,4.1,21.11
4.4,3.6,21.04
4.6,3.6,21.05
5.1,4.2,20.98
5.4,5.5,21.14
6.1,7.0,21.1
6.3,9.0,21.16
7.1,10.2,21.06
7.6,11.2,21.27
8.1,12.8,21.19
